StartController,controller starts
ControllerExecution,Begin#NewStatsIn$1369851311.539830$61$2$73#AddNewDataToBuffer$1369851311.539862$61$2$73#NewStatsIn$1369851311.539937$61$2$73#AddNewDataToBuffer$1369851311.539958$61$2$73#NewStatsIn$1369851311.646056$61$2$73#AddNewDataToBuffer$1369851311.646080$61$2$73#NewStatsIn$1369851311.649695$61$2$73#AddNewDataToBuffer$1369851311.649719$61$2$73#ReleaseBuffer$1369851311.649725$61$2$73#StartRunGo$1369851311.649846$61$2#DoneRunGo$1369851311.649914$61$2
ControllerExecution,Begin#NewStatsIn$1369851312.537436$61$2$74#AddNewDataToBuffer$1369851312.537458$61$2$74#NewStatsIn$1369851312.537696$61$2$74#AddNewDataToBuffer$1369851312.537717$61$2$74#NewStatsIn$1369851312.643202$61$2$74#AddNewDataToBuffer$1369851312.643225$61$2$74#NewStatsIn$1369851312.649715$61$2$74#AddNewDataToBuffer$1369851312.649740$61$2$74#ReleaseBuffer$1369851312.649745$61$2$74#StartRunGo$1369851312.649843$61$2#DoneRunGo$1369851312.649906$61$2
ControllerExecution,Begin#NewStatsIn$1369851313.538461$61$2$75#AddNewDataToBuffer$1369851313.538495$61$2$75#NewStatsIn$1369851313.539115$61$2$75#AddNewDataToBuffer$1369851313.539137$61$2$75#NewStatsIn$1369851313.643822$61$2$75#AddNewDataToBuffer$1369851313.643845$61$2$75#NewStatsIn$1369851313.650856$61$2$75#AddNewDataToBuffer$1369851313.650880$61$2$75#ReleaseBuffer$1369851313.650886$61$2$75#StartRunGo$1369851313.651016$61$2#DoneRunGo$1369851313.651089$61$2
ControllerExecution,Begin#NewStatsIn$1369851314.537642$61$2$76#AddNewDataToBuffer$1369851314.537681$61$2$76#NewStatsIn$1369851314.537735$61$2$76#AddNewDataToBuffer$1369851314.537756$61$2$76#NewStatsIn$1369851314.642566$61$2$76#AddNewDataToBuffer$1369851314.642589$61$2$76#NewStatsIn$1369851314.648457$61$2$76#AddNewDataToBuffer$1369851314.648481$61$2$76#ReleaseBuffer$1369851314.648487$61$2$76#StartRunGo$1369851314.648627$61$2#DoneRunGo$1369851314.648706$61$2
ControllerExecution,Begin#NewStatsIn$1369851315.538666$61$2$77#AddNewDataToBuffer$1369851315.538690$61$2$77#NewStatsIn$1369851315.538969$61$2$77#AddNewDataToBuffer$1369851315.538991$61$2$77#NewStatsIn$1369851315.643462$61$2$77#AddNewDataToBuffer$1369851315.643486$61$2$77#NewStatsIn$1369851315.648705$61$2$77#AddNewDataToBuffer$1369851315.648730$61$2$77#ReleaseBuffer$1369851315.648736$61$2$77#StartRunGo$1369851315.648842$61$2#DoneRunGo$1369851315.648974$61$2
ControllerExecution,Begin#NewStatsIn$1369851316.537300$61$2$78#AddNewDataToBuffer$1369851316.537322$61$2$78#NewStatsIn$1369851316.539093$61$2$78#AddNewDataToBuffer$1369851316.539114$61$2$78#NewStatsIn$1369851316.641605$61$2$78#AddNewDataToBuffer$1369851316.641628$61$2$78#NewStatsIn$1369851316.647824$61$2$78#AddNewDataToBuffer$1369851316.647848$61$2$78#ReleaseBuffer$1369851316.647854$61$2$78#StartRunGo$1369851316.647955$61$2#DoneRunGo$1369851316.648021$61$2
ControllerExecution,Begin#NewStatsIn$1369851317.537824$61$2$79#AddNewDataToBuffer$1369851317.537850$61$2$79#NewStatsIn$1369851317.537914$61$2$79#AddNewDataToBuffer$1369851317.537933$61$2$79#NewStatsIn$1369851317.642784$61$2$79#AddNewDataToBuffer$1369851317.642806$61$2$79#NewStatsIn$1369851317.646336$61$2$79#AddNewDataToBuffer$1369851317.646359$61$2$79#ReleaseBuffer$1369851317.646365$61$2$79#StartRunGo$1369851317.646461$61$2#DoneRunGo$1369851317.646580$61$2
ControllerExecution,Begin#NewStatsIn$1369851318.536559$61$2$80#AddNewDataToBuffer$1369851318.536578$61$2$80#NewStatsIn$1369851318.538748$61$2$80#AddNewDataToBuffer$1369851318.538769$61$2$80#NewStatsIn$1369851318.639871$61$2$80#AddNewDataToBuffer$1369851318.639894$61$2$80#NewStatsIn$1369851318.646838$61$2$80#AddNewDataToBuffer$1369851318.646862$61$2$80#ReleaseBuffer$1369851318.646868$61$2$80#StartRunGo$1369851318.646962$61$2#DoneRunGo$1369851318.647082$61$2
ControllerExecution,Begin#NewStatsIn$1369851319.537469$61$2$81#AddNewDataToBuffer$1369851319.537488$61$2$81#NewStatsIn$1369851319.538333$61$2$81#AddNewDataToBuffer$1369851319.538354$61$2$81#NewStatsIn$1369851319.639100$61$2$81#AddNewDataToBuffer$1369851319.639123$61$2$81#NewStatsIn$1369851319.646238$61$2$81#AddNewDataToBuffer$1369851319.646262$61$2$81#ReleaseBuffer$1369851319.646268$61$2$81#StartRunGo$1369851319.646362$61$2#DoneRunGo$1369851319.646425$61$2
ControllerExecution,Begin#NewStatsIn$1369851320.536460$61$2$82#AddNewDataToBuffer$1369851320.536482$61$2$82#NewStatsIn$1369851320.538160$61$2$82#AddNewDataToBuffer$1369851320.538183$61$2$82#NewStatsIn$1369851320.639630$61$2$82#AddNewDataToBuffer$1369851320.639654$61$2$82#NewStatsIn$1369851320.645212$61$2$82#AddNewDataToBuffer$1369851320.645238$61$2$82#ReleaseBuffer$1369851320.645244$61$2$82#StartRunGo$1369851320.645348$61$2#DoneRunGo$1369851320.645477$61$2
