StartController,controller starts
ControllerExecution,Begin#NewStatsIn$1370892203.625197$61$2$97#AddNewDataToBuffer$1370892203.625220$61$2$97#NewStatsIn$1370892203.637427$61$2$97#AddNewDataToBuffer$1370892203.637436$61$2$97#NewStatsIn$1370892203.716189$61$2$97#AddNewDataToBuffer$1370892203.716198$61$2$97#NewStatsIn$1370892203.855442$61$2$97#AddNewDataToBuffer$1370892203.855462$61$2$97#ReleaseBuffer$1370892203.855469$61$2$97#StartRunGo$1370892203.855638$61$2#DoneRunGo$1370892203.855781$61$2
ControllerExecution,Begin#NewStatsIn$1370892204.626214$61$2$98#AddNewDataToBuffer$1370892204.626236$61$2$98#NewStatsIn$1370892204.635319$61$2$98#AddNewDataToBuffer$1370892204.635328$61$2$98#NewStatsIn$1370892204.716985$61$2$98#AddNewDataToBuffer$1370892204.716994$61$2$98#NewStatsIn$1370892204.854166$61$2$98#AddNewDataToBuffer$1370892204.854175$61$2$98#ReleaseBuffer$1370892204.854180$61$2$98#StartRunGo$1370892204.854321$61$2#DoneRunGo$1370892204.854440$61$2
ControllerExecution,Begin#NewStatsIn$1370892205.624653$61$2$99#AddNewDataToBuffer$1370892205.624675$61$2$99#NewStatsIn$1370892205.635447$61$2$99#AddNewDataToBuffer$1370892205.635455$61$2$99#NewStatsIn$1370892205.715954$61$2$99#AddNewDataToBuffer$1370892205.715963$61$2$99#NewStatsIn$1370892205.855479$61$2$99#AddNewDataToBuffer$1370892205.855489$61$2$99#ReleaseBuffer$1370892205.855494$61$2$99#StartRunGo$1370892205.855634$61$2#DoneRunGo$1370892205.855759$61$2
ControllerExecution,Begin#NewStatsIn$1370892206.623898$61$2$100#AddNewDataToBuffer$1370892206.623920$61$2$100#NewStatsIn$1370892206.635788$61$2$100#AddNewDataToBuffer$1370892206.635797$61$2$100#NewStatsIn$1370892206.716156$61$2$100#AddNewDataToBuffer$1370892206.716167$61$2$100#NewStatsIn$1370892206.852549$61$2$100#AddNewDataToBuffer$1370892206.852561$61$2$100#ReleaseBuffer$1370892206.852567$61$2$100#StartRunGo$1370892206.852711$61$2#DoneRunGo$1370892206.852857$61$2
ControllerExecution,Begin#NewStatsIn$1370892207.622763$61$2$101#AddNewDataToBuffer$1370892207.622786$61$2$101#NewStatsIn$1370892207.635196$61$2$101#AddNewDataToBuffer$1370892207.635204$61$2$101#NewStatsIn$1370892207.715072$61$2$101#AddNewDataToBuffer$1370892207.715081$61$2$101#NewStatsIn$1370892207.852179$61$2$101#AddNewDataToBuffer$1370892207.852187$61$2$101#ReleaseBuffer$1370892207.852193$61$2$101#StartRunGo$1370892207.852350$61$2#DoneRunGo$1370892207.852474$61$2
ControllerExecution,Begin#NewStatsIn$1370892208.624419$61$2$102#AddNewDataToBuffer$1370892208.624441$61$2$102#NewStatsIn$1370892208.635567$61$2$102#AddNewDataToBuffer$1370892208.635575$61$2$102#NewStatsIn$1370892208.713378$61$2$102#AddNewDataToBuffer$1370892208.713386$61$2$102#NewStatsIn$1370892208.852649$61$2$102#AddNewDataToBuffer$1370892208.852658$61$2$102#ReleaseBuffer$1370892208.852664$61$2$102#StartRunGo$1370892208.852799$61$2#DoneRunGo$1370892208.852918$61$2
ControllerExecution,Begin#NewStatsIn$1370892209.621407$61$2$103#AddNewDataToBuffer$1370892209.621428$61$2$103#NewStatsIn$1370892209.635138$61$2$103#AddNewDataToBuffer$1370892209.635146$61$2$103#NewStatsIn$1370892209.713555$61$2$103#AddNewDataToBuffer$1370892209.713563$61$2$103#NewStatsIn$1370892209.851151$61$2$103#AddNewDataToBuffer$1370892209.851161$61$2$103#ReleaseBuffer$1370892209.851166$61$2$103#StartRunGo$1370892209.851306$61$2#DoneRunGo$1370892209.851453$61$2
ControllerExecution,Begin#NewStatsIn$1370892210.621798$61$2$104#AddNewDataToBuffer$1370892210.621821$61$2$104#NewStatsIn$1370892210.635640$61$2$104#AddNewDataToBuffer$1370892210.635650$61$2$104#NewStatsIn$1370892210.714187$61$2$104#AddNewDataToBuffer$1370892210.714202$61$2$104#NewStatsIn$1370892210.852380$61$2$104#AddNewDataToBuffer$1370892210.852396$61$2$104#ReleaseBuffer$1370892210.852402$61$2$104#StartRunGo$1370892210.852567$61$2#DoneRunGo$1370892210.852696$61$2
ControllerExecution,Begin#NewStatsIn$1370892211.620527$61$2$105#AddNewDataToBuffer$1370892211.620548$61$2$105#NewStatsIn$1370892211.636415$61$2$105#AddNewDataToBuffer$1370892211.636424$61$2$105#NewStatsIn$1370892211.713306$61$2$105#AddNewDataToBuffer$1370892211.713315$61$2$105#NewStatsIn$1370892211.852838$61$2$105#AddNewDataToBuffer$1370892211.852855$61$2$105#ReleaseBuffer$1370892211.852860$61$2$105#StartRunGo$1370892211.853005$61$2#DoneRunGo$1370892211.853141$61$2
ControllerExecution,Begin#NewStatsIn$1370892212.622399$61$2$106#AddNewDataToBuffer$1370892212.622421$61$2$106#NewStatsIn$1370892212.635946$61$2$106#AddNewDataToBuffer$1370892212.635955$61$2$106#NewStatsIn$1370892212.712209$61$2$106#AddNewDataToBuffer$1370892212.712221$61$2$106#NewStatsIn$1370892212.849826$61$2$106#AddNewDataToBuffer$1370892212.849846$61$2$106#ReleaseBuffer$1370892212.849852$61$2$106#StartRunGo$1370892212.850003$61$2#DoneRunGo$1370892212.850158$61$2
ControllerExecution,Begin#NewStatsIn$1370892213.619712$61$2$107#AddNewDataToBuffer$1370892213.619734$61$2$107#NewStatsIn$1370892213.636037$61$2$107#AddNewDataToBuffer$1370892213.636045$61$2$107#NewStatsIn$1370892213.711772$61$2$107#AddNewDataToBuffer$1370892213.711789$61$2$107#NewStatsIn$1370892213.849838$61$2$107#AddNewDataToBuffer$1370892213.849848$61$2$107#ReleaseBuffer$1370892213.849853$61$2$107#StartRunGo$1370892213.850014$61$2#DoneRunGo$1370892213.850139$61$2
ControllerExecution,Begin#NewStatsIn$1370892214.619638$61$2$108#AddNewDataToBuffer$1370892214.619661$61$2$108#NewStatsIn$1370892214.635591$61$2$108#AddNewDataToBuffer$1370892214.635599$61$2$108#NewStatsIn$1370892214.712248$61$2$108#AddNewDataToBuffer$1370892214.712256$61$2$108#NewStatsIn$1370892214.849329$61$2$108#AddNewDataToBuffer$1370892214.849341$61$2$108#ReleaseBuffer$1370892214.849346$61$2$108#StartRunGo$1370892214.849521$61$2#DoneRunGo$1370892214.849702$61$2
ControllerExecution,Begin#NewStatsIn$1370892215.618787$61$2$109#AddNewDataToBuffer$1370892215.618807$61$2$109#NewStatsIn$1370892215.636169$61$2$109#AddNewDataToBuffer$1370892215.636178$61$2$109#NewStatsIn$1370892215.711163$61$2$109#AddNewDataToBuffer$1370892215.711175$61$2$109#NewStatsIn$1370892215.849137$61$2$109#AddNewDataToBuffer$1370892215.849150$61$2$109#ReleaseBuffer$1370892215.849156$61$2$109#StartRunGo$1370892215.849315$61$2#DoneRunGo$1370892215.849436$61$2
ControllerExecution,Begin#NewStatsIn$1370892216.618826$61$2$110#AddNewDataToBuffer$1370892216.618847$61$2$110#NewStatsIn$1370892216.635236$61$2$110#AddNewDataToBuffer$1370892216.635250$61$2$110#NewStatsIn$1370892216.712875$61$2$110#AddNewDataToBuffer$1370892216.712886$61$2$110#NewStatsIn$1370892216.848195$61$2$110#AddNewDataToBuffer$1370892216.848206$61$2$110#ReleaseBuffer$1370892216.848211$61$2$110#StartRunGo$1370892216.848355$61$2#DoneRunGo$1370892216.848485$61$2
ControllerExecution,Begin#NewStatsIn$1370892217.617447$61$2$111#AddNewDataToBuffer$1370892217.617469$61$2$111#NewStatsIn$1370892217.636324$61$2$111#AddNewDataToBuffer$1370892217.636333$61$2$111#NewStatsIn$1370892217.710196$61$2$111#AddNewDataToBuffer$1370892217.710204$61$2$111#NewStatsIn$1370892217.848001$61$2$111#AddNewDataToBuffer$1370892217.848011$61$2$111#ReleaseBuffer$1370892217.848016$61$2$111#StartRunGo$1370892217.848156$61$2#DoneRunGo$1370892217.848281$61$2
ControllerExecution,Begin#NewStatsIn$1370892218.617467$61$2$112#AddNewDataToBuffer$1370892218.617488$61$2$112#NewStatsIn$1370892218.635144$61$2$112#AddNewDataToBuffer$1370892218.635153$61$2$112#NewStatsIn$1370892218.709138$61$2$112#AddNewDataToBuffer$1370892218.709147$61$2$112#NewStatsIn$1370892218.847764$61$2$112#AddNewDataToBuffer$1370892218.847776$61$2$112#ReleaseBuffer$1370892218.847782$61$2$112#StartRunGo$1370892218.847923$61$2#DoneRunGo$1370892218.848045$61$2
ControllerExecution,Begin#NewStatsIn$1370892219.616585$61$2$113#AddNewDataToBuffer$1370892219.616607$61$2$113#NewStatsIn$1370892219.636549$61$2$113#AddNewDataToBuffer$1370892219.636558$61$2$113#NewStatsIn$1370892219.708960$61$2$113#AddNewDataToBuffer$1370892219.708969$61$2$113#NewStatsIn$1370892219.846166$61$2$113#AddNewDataToBuffer$1370892219.846175$61$2$113#ReleaseBuffer$1370892219.846180$61$2$113#StartRunGo$1370892219.846339$61$2#DoneRunGo$1370892219.846460$61$2
ControllerExecution,Begin#NewStatsIn$1370892220.617116$61$2$114#AddNewDataToBuffer$1370892220.617138$61$2$114#NewStatsIn$1370892220.635182$61$2$114#AddNewDataToBuffer$1370892220.635190$61$2$114#NewStatsIn$1370892220.708041$61$2$114#AddNewDataToBuffer$1370892220.708054$61$2$114#NewStatsIn$1370892220.845873$61$2$114#AddNewDataToBuffer$1370892220.845889$61$2$114#ReleaseBuffer$1370892220.845895$61$2$114#StartRunGo$1370892220.846059$61$2#DoneRunGo$1370892220.846188$61$2
ControllerExecution,Begin#NewStatsIn$1370892221.615657$61$2$115#AddNewDataToBuffer$1370892221.615679$61$2$115#NewStatsIn$1370892221.636326$61$2$115#AddNewDataToBuffer$1370892221.636334$61$2$115#NewStatsIn$1370892221.708413$61$2$115#AddNewDataToBuffer$1370892221.708422$61$2$115#NewStatsIn$1370892221.845169$61$2$115#AddNewDataToBuffer$1370892221.845179$61$2$115#ReleaseBuffer$1370892221.845185$61$2$115#StartRunGo$1370892221.845356$61$2#DoneRunGo$1370892221.845477$61$2
ControllerExecution,Begin#NewStatsIn$1370892222.615995$61$2$116#AddNewDataToBuffer$1370892222.616010$61$2$116#NewStatsIn$1370892222.637042$61$2$116#AddNewDataToBuffer$1370892222.637051$61$2$116#NewStatsIn$1370892222.708041$61$2$116#AddNewDataToBuffer$1370892222.708050$61$2$116#NewStatsIn$1370892222.844665$61$2$116#AddNewDataToBuffer$1370892222.844674$61$2$116#ReleaseBuffer$1370892222.844679$61$2$116#StartRunGo$1370892222.844820$61$2#DoneRunGo$1370892222.844937$61$2
ControllerExecution,Begin#NewStatsIn$1370892223.614176$61$2$117#AddNewDataToBuffer$1370892223.614197$61$2$117#NewStatsIn$1370892223.637510$61$2$117#AddNewDataToBuffer$1370892223.637519$61$2$117#NewStatsIn$1370892223.706670$61$2$117#AddNewDataToBuffer$1370892223.706678$61$2$117#NewStatsIn$1370892223.844533$61$2$117#AddNewDataToBuffer$1370892223.844543$61$2$117#ReleaseBuffer$1370892223.844548$61$2$117#StartRunGo$1370892223.844709$61$2#DoneRunGo$1370892223.844830$61$2
ControllerExecution,Begin#NewStatsIn$1370892224.614874$61$2$118#AddNewDataToBuffer$1370892224.614896$61$2$118#NewStatsIn$1370892224.635188$61$2$118#AddNewDataToBuffer$1370892224.635196$61$2$118#NewStatsIn$1370892224.706025$61$2$118#AddNewDataToBuffer$1370892224.706039$61$2$118#NewStatsIn$1370892224.844913$61$2$118#AddNewDataToBuffer$1370892224.844930$61$2$118#ReleaseBuffer$1370892224.844937$61$2$118#StartRunGo$1370892224.845085$61$2#DoneRunGo$1370892224.845209$61$2
