StartController,controller starts
ControllerExecution,Begin#AddNewDataToBuffer$1370901924.107727$61$6$28#ReleaseBuffer$1370901924.107751$61$6$28#StartRunGo$1370901924.108808$61$6#DoneRunGo$1370901924.111522$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901924.160895$61$7$28#ReleaseBuffer$1370901924.160910$61$7$28#StartRunGo$1370901924.161720$61$7#DoneRunGo$1370901924.161816$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901927.088742$61$6$29#ReleaseBuffer$1370901927.088763$61$6$29#StartRunGo$1370901927.091912$61$6#DoneRunGo$1370901927.092416$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901927.134087$61$7$29#ReleaseBuffer$1370901927.134105$61$7$29#StartRunGo$1370901927.134305$61$7#DoneRunGo$1370901927.134395$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901930.088107$61$6$30#ReleaseBuffer$1370901930.088132$61$6$30#StartRunGo$1370901930.092009$61$6#DoneRunGo$1370901930.093943$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901930.136898$61$7$30#ReleaseBuffer$1370901930.136915$61$7$30#StartRunGo$1370901930.140226$61$7#DoneRunGo$1370901930.140331$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901933.090291$61$6$31#ReleaseBuffer$1370901933.090311$61$6$31#StartRunGo$1370901933.090957$61$6#DoneRunGo$1370901933.093977$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901933.156080$61$7$31#ReleaseBuffer$1370901933.156096$61$7$31#StartRunGo$1370901933.159840$61$7#DoneRunGo$1370901933.170627$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901936.091640$61$6$32#ReleaseBuffer$1370901936.091663$61$6$32#StartRunGo$1370901936.092933$61$6#DoneRunGo$1370901936.110585$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901936.132771$61$7$32#ReleaseBuffer$1370901936.132786$61$7$32#StartRunGo$1370901936.143604$61$7#DoneRunGo$1370901936.143732$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901939.088029$61$6$33#ReleaseBuffer$1370901939.088043$61$6$33#StartRunGo$1370901939.088215$61$6#DoneRunGo$1370901939.096719$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901939.141237$61$7$33#ReleaseBuffer$1370901939.141264$61$7$33#StartRunGo$1370901939.146083$61$7#DoneRunGo$1370901939.146201$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901942.093716$61$6$34#ReleaseBuffer$1370901942.093732$61$6$34#StartRunGo$1370901942.101416$61$6#DoneRunGo$1370901942.104072$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901942.149892$61$7$34#ReleaseBuffer$1370901942.149907$61$7$34#StartRunGo$1370901942.158474$61$7#DoneRunGo$1370901942.158579$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901945.097191$61$6$35#ReleaseBuffer$1370901945.097205$61$6$35#StartRunGo$1370901945.097334$61$6#DoneRunGo$1370901945.098145$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901945.143768$61$7$35#ReleaseBuffer$1370901945.143787$61$7$35#StartRunGo$1370901945.144539$61$7#DoneRunGo$1370901945.144641$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901948.114735$61$6$36#ReleaseBuffer$1370901948.114759$61$6$36#StartRunGo$1370901948.119037$61$6#DoneRunGo$1370901948.125606$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901948.148350$61$7$36#ReleaseBuffer$1370901948.148374$61$7$36#StartRunGo$1370901948.149093$61$7#DoneRunGo$1370901948.149241$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901951.090408$61$6$37#ReleaseBuffer$1370901951.090424$61$6$37#StartRunGo$1370901951.101398$61$6#DoneRunGo$1370901951.102366$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901951.164899$61$7$37#ReleaseBuffer$1370901951.164923$61$7$37#StartRunGo$1370901951.169986$61$7#DoneRunGo$1370901951.170101$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901954.085790$61$6$38#ReleaseBuffer$1370901954.085803$61$6$38#StartRunGo$1370901954.086084$61$6#DoneRunGo$1370901954.095703$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901954.140182$61$7$38#ReleaseBuffer$1370901954.140204$61$7$38#StartRunGo$1370901954.140980$61$7#DoneRunGo$1370901954.141075$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901957.091195$61$6$39#ReleaseBuffer$1370901957.091218$61$6$39#StartRunGo$1370901957.091472$61$6#DoneRunGo$1370901957.092532$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901957.139400$61$7$39#ReleaseBuffer$1370901957.139418$61$7$39#StartRunGo$1370901957.140138$61$7#DoneRunGo$1370901957.140230$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901960.087121$61$6$40#ReleaseBuffer$1370901960.087141$61$6$40#StartRunGo$1370901960.087432$61$6#DoneRunGo$1370901960.088382$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901960.133376$61$7$40#ReleaseBuffer$1370901960.133395$61$7$40#StartRunGo$1370901960.139708$61$7#DoneRunGo$1370901960.139839$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901963.102017$61$6$41#ReleaseBuffer$1370901963.102036$61$6$41#StartRunGo$1370901963.106568$61$6#DoneRunGo$1370901963.108489$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901963.171453$61$7$41#ReleaseBuffer$1370901963.171468$61$7$41#StartRunGo$1370901963.172133$61$7#DoneRunGo$1370901963.172224$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901966.118015$61$6$42#ReleaseBuffer$1370901966.118031$61$6$42#StartRunGo$1370901966.128192$61$6#DoneRunGo$1370901966.133664$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901966.175163$61$7$42#ReleaseBuffer$1370901966.175181$61$7$42#StartRunGo$1370901966.179966$61$7#DoneRunGo$1370901966.180099$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901969.095927$61$6$43#ReleaseBuffer$1370901969.095937$61$6$43#StartRunGo$1370901969.096354$61$6#DoneRunGo$1370901969.098920$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901969.170048$61$7$43#ReleaseBuffer$1370901969.170069$61$7$43#StartRunGo$1370901969.172409$61$7#DoneRunGo$1370901969.172505$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901972.097945$61$6$44#ReleaseBuffer$1370901972.097955$61$6$44#StartRunGo$1370901972.098081$61$6#DoneRunGo$1370901972.099388$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901972.129335$61$7$44#ReleaseBuffer$1370901972.129352$61$7$44#StartRunGo$1370901972.131816$61$7#DoneRunGo$1370901972.131913$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901975.088451$61$6$45#ReleaseBuffer$1370901975.088461$61$6$45#StartRunGo$1370901975.088583$61$6#DoneRunGo$1370901975.089402$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901975.132404$61$7$45#ReleaseBuffer$1370901975.132417$61$7$45#StartRunGo$1370901975.132562$61$7#DoneRunGo$1370901975.132656$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901978.084908$61$6$46#ReleaseBuffer$1370901978.084926$61$6$46#StartRunGo$1370901978.085575$61$6#DoneRunGo$1370901978.086138$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901978.136980$61$7$46#ReleaseBuffer$1370901978.136995$61$7$46#StartRunGo$1370901978.141251$61$7#DoneRunGo$1370901978.141370$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901981.112183$61$6$47#ReleaseBuffer$1370901981.112196$61$6$47#StartRunGo$1370901981.131424$61$6#DoneRunGo$1370901981.132018$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901981.147015$61$7$47#ReleaseBuffer$1370901981.147032$61$7$47#StartRunGo$1370901981.148458$61$7#DoneRunGo$1370901981.148562$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901984.086312$61$6$48#ReleaseBuffer$1370901984.086328$61$6$48#StartRunGo$1370901984.086491$61$6#DoneRunGo$1370901984.087919$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901984.122041$61$7$48#ReleaseBuffer$1370901984.122056$61$7$48#StartRunGo$1370901984.122974$61$7#DoneRunGo$1370901984.123064$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901987.088933$61$6$49#ReleaseBuffer$1370901987.088943$61$6$49#StartRunGo$1370901987.089079$61$6#DoneRunGo$1370901987.089814$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901987.145681$61$7$49#ReleaseBuffer$1370901987.145697$61$7$49#StartRunGo$1370901987.146287$61$7#DoneRunGo$1370901987.146378$61$7
